Frequency (Hz)	Level (dB)
86.132812	-69.056564
172.265625	-67.056404
258.398438	-68.159637
344.531250	-72.256035
430.664062	-75.863777
516.796875	-77.308388
602.929688	-78.974167
689.062500	-80.066330
775.195312	-79.688217
861.328125	-78.897598
947.460938	-79.485291
1033.593750	-79.677124
1119.726562	-79.180954
1205.859375	-78.612488
1291.992188	-77.035370
1378.125000	-75.654335
1464.257812	-73.280029
1550.390625	-69.695839
1636.523438	-69.896072
1722.656250	-74.491280
1808.789062	-76.283737
1894.921875	-78.217255
1981.054688	-77.467644
2067.187500	-76.000420
2153.320312	-74.116722
2239.453125	-75.088028
2325.585938	-78.022316
2411.718750	-78.350494
2497.851562	-78.221375
2583.984375	-77.638817
2670.117188	-75.528122
2756.250000	-74.799751
2842.382812	-75.863365
2928.515625	-77.226151
3014.648438	-79.426926
3100.781250	-80.967003
3186.914062	-80.930267
3273.046875	-81.610611
3359.179688	-82.863655
3445.312500	-83.643745
3531.445312	-83.186394
3617.578125	-83.532372
3703.710938	-83.583977
3789.843750	-83.325249
3875.976562	-84.287308
3962.109375	-84.935745
4048.242188	-85.215134
4134.375000	-84.558609
4220.507812	-84.170326
4306.640625	-84.621223
4392.773438	-84.647118
4478.906250	-84.493584
4565.039062	-84.596062
4651.171875	-85.037163
4737.304688	-85.396271
4823.437500	-85.631302
4909.570312	-85.159630
4995.703125	-85.448303
5081.835938	-85.330643
5167.968750	-84.118607
5254.101562	-83.284668
5340.234375	-82.225487
5426.367188	-81.818260
5512.500000	-82.582031
5598.632812	-83.892052
5684.765625	-84.136856
5770.898438	-84.152626
5857.031250	-84.443832
5943.164062	-85.192993
6029.296875	-86.363380
6115.429688	-86.807945
6201.562500	-86.930367
6287.695312	-87.392700
6373.828125	-88.078300
6459.960938	-88.195290
6546.093750	-88.177544
6632.226562	-88.336586
6718.359375	-89.016205
6804.492188	-89.235016
6890.625000	-90.015892
6976.757812	-90.159355
7062.890625	-90.061676
7149.023438	-89.813667
7235.156250	-90.059204
7321.289062	-90.623291
7407.421875	-90.816139
7493.554688	-90.931549
7579.687500	-90.495369
7665.820312	-90.335815
7751.953125	-89.951622
7838.085938	-90.063614
7924.218750	-89.522476
8010.351562	-89.572388
8096.484375	-89.550575
8182.617188	-89.905861
8268.750000	-89.669037
8354.882812	-89.185219
8441.015625	-89.737991
8527.148438	-89.717804
8613.281250	-89.997406
8699.414062	-89.464157
8785.546875	-89.209221
8871.679688	-88.956917
8957.812500	-88.865852
9043.945312	-88.741425
9130.078125	-88.620071
9216.210938	-89.468353
9302.343750	-89.991196
9388.476562	-90.380379
9474.609375	-90.628456
9560.742188	-90.553825
9646.875000	-90.629807
9733.007812	-91.275581
9819.140625	-92.084938
9905.273438	-92.728279
9991.406250	-93.273293
10077.539062	-93.245338
10163.671875	-92.654015
10249.804688	-92.796562
10335.937500	-93.112709
10422.070312	-93.347046
10508.203125	-93.917641
10594.335938	-94.357948
10680.468750	-94.340904
10766.601562	-94.023605
10852.734375	-93.793495
10938.867188	-94.043686
11025.000000	-93.848770
11111.132812	-93.736763
11197.265625	-93.036407
11283.398438	-92.584190
11369.531250	-92.691467
11455.664062	-91.670418
11541.796875	-90.572113
11627.929688	-89.929291
11714.062500	-89.901047
11800.195312	-91.218178
11886.328125	-92.456703
11972.460938	-93.573044
12058.593750	-94.028618
12144.726562	-94.071640
12230.859375	-94.423996
12316.992188	-93.916054
12403.125000	-93.467934
12489.257812	-93.700035
12575.390625	-94.854866
12661.523438	-96.767822
12747.656250	-97.010109
12833.789062	-96.435509
12919.921875	-96.531090
13006.054688	-96.901672
13092.187500	-96.998238
13178.320312	-97.532349
13264.453125	-97.597862
13350.585938	-98.026772
13436.718750	-98.431236
13522.851562	-98.720055
13608.984375	-98.611511
13695.117188	-99.601646
13781.250000	-100.581619
13867.382812	-100.727417
13953.515625	-100.711174
14039.648438	-101.137512
14125.781250	-100.635277
14211.914062	-100.295738
14298.046875	-99.061104
14384.179688	-99.310593
14470.312500	-99.518425
14556.445312	-98.608940
14642.578125	-97.649673
14728.710938	-97.847321
14814.843750	-97.032768
14900.976562	-95.996086
14987.109375	-96.343727
15073.242188	-97.454979
15159.375000	-97.451950
15245.507812	-96.918045
15331.640625	-96.930313
15417.773438	-97.528084
15503.906250	-98.016144
15590.039062	-99.510605
15676.171875	-100.360901
15762.304688	-99.810135
15848.437500	-99.154297
15934.570312	-97.766937
16020.703125	-97.285942
16106.835938	-97.307304
16192.968750	-97.666985
16279.101562	-97.740112
16365.234375	-95.961906
16451.367188	-96.598045
16537.500000	-97.423332
16623.632812	-96.593842
16709.765625	-95.343513
16795.898438	-95.875679
16882.031250	-96.744736
16968.164062	-96.711174
17054.296875	-97.056572
17140.429688	-97.422821
17226.562500	-98.622787
17312.695312	-100.650909
17398.828125	-102.058716
17484.960938	-102.869804
17571.093750	-103.122459
17657.226562	-102.709755
17743.359375	-102.028572
17829.492188	-101.376617
17915.625000	-101.763496
18001.757812	-102.631302
18087.890625	-102.519630
18174.023438	-102.672165
18260.156250	-103.304825
18346.289062	-103.193115
18432.421875	-102.905190
18518.554688	-102.388290
18604.687500	-100.972267
18690.820312	-98.808174
18776.953125	-98.229515
18863.085938	-100.349518
18949.218750	-104.534668
19035.351562	-107.530869
19121.484375	-108.031425
19207.617188	-108.639091
19293.750000	-110.047318
19379.882812	-110.343315
19466.015625	-110.590553
19552.148438	-111.088402
19638.281250	-112.134697
19724.414062	-113.297943
19810.546875	-113.583542
19896.679688	-114.231529
19982.812500	-114.594116
20068.945312	-114.665062
20155.078125	-117.506371
20241.210938	-116.442947
20327.343750	-111.996803
20413.476562	-112.644020
20499.609375	-115.227486
20585.742188	-118.275436
20671.875000	-121.489243
20758.007812	-123.214096
