Frequency (Hz)	Level (dB)
86.132812	-69.278954
172.265625	-66.817596
258.398438	-67.919327
344.531250	-71.493858
430.664062	-75.781006
516.796875	-77.546577
602.929688	-78.418030
689.062500	-79.438408
775.195312	-80.496284
861.328125	-79.554810
947.460938	-79.259071
1033.593750	-80.594582
1119.726562	-80.307610
1205.859375	-79.128242
1291.992188	-77.603516
1378.125000	-75.033554
1464.257812	-73.468132
1550.390625	-72.789665
1636.523438	-72.545486
1722.656250	-72.628342
1808.789062	-72.172157
1894.921875	-71.166214
1981.054688	-71.909668
2067.187500	-74.578110
2153.320312	-77.977081
2239.453125	-79.593788
2325.585938	-80.354675
2411.718750	-81.819191
2497.851562	-81.838097
2583.984375	-79.863342
2670.117188	-79.038002
2756.250000	-79.541046
2842.382812	-79.911804
2928.515625	-81.039642
3014.648438	-81.607422
3100.781250	-83.107887
3186.914062	-84.568825
3273.046875	-84.588531
3359.179688	-84.591675
3445.312500	-85.593796
3531.445312	-85.767578
3617.578125	-85.759010
3703.710938	-85.828377
3789.843750	-84.438431
3875.976562	-84.027687
3962.109375	-85.915123
4048.242188	-86.396225
4134.375000	-86.246872
4220.507812	-87.098434
4306.640625	-86.854805
4392.773438	-86.469406
4478.906250	-87.036034
4565.039062	-87.451820
4651.171875	-87.337105
4737.304688	-87.316841
4823.437500	-86.523621
4909.570312	-85.980896
4995.703125	-86.703232
5081.835938	-88.087288
5167.968750	-88.180466
5254.101562	-87.108566
5340.234375	-87.065430
5426.367188	-87.969734
5512.500000	-86.226448
5598.632812	-85.609779
5684.765625	-86.815575
5770.898438	-87.244987
5857.031250	-86.145714
5943.164062	-85.094276
6029.296875	-87.292732
6115.429688	-89.239151
6201.562500	-90.068512
6287.695312	-91.336502
6373.828125	-91.563339
6459.960938	-91.884232
6546.093750	-92.077972
6632.226562	-91.675575
6718.359375	-91.801056
6804.492188	-93.189529
6890.625000	-92.614540
6976.757812	-92.312019
7062.890625	-91.334190
7149.023438	-90.715942
7235.156250	-91.167046
7321.289062	-92.078094
7407.421875	-92.013245
7493.554688	-91.646515
7579.687500	-92.374832
7665.820312	-93.028831
7751.953125	-93.298264
7838.085938	-93.112328
7924.218750	-92.519386
8010.351562	-91.780930
8096.484375	-92.196457
8182.617188	-92.611626
8268.750000	-92.871574
8354.882812	-91.434105
8441.015625	-90.081429
8527.148438	-90.574463
8613.281250	-91.608551
8699.414062	-91.638184
8785.546875	-92.171532
8871.679688	-92.894165
8957.812500	-93.158066
9043.945312	-93.812035
9130.078125	-94.601265
9216.210938	-94.104172
9302.343750	-94.868973
9388.476562	-95.406250
9474.609375	-95.745239
9560.742188	-95.763969
9646.875000	-95.725517
9733.007812	-95.717079
9819.140625	-95.972694
9905.273438	-95.890991
9991.406250	-95.837509
10077.539062	-96.815697
10163.671875	-97.052513
10249.804688	-97.141502
10335.937500	-97.879829
10422.070312	-99.321205
10508.203125	-99.422844
10594.335938	-99.723900
10680.468750	-99.897858
10766.601562	-99.748840
10852.734375	-100.194878
10938.867188	-99.795395
11025.000000	-99.527695
11111.132812	-99.446335
11197.265625	-99.742531
11283.398438	-99.977707
11369.531250	-100.249580
11455.664062	-100.120224
11541.796875	-100.170647
11627.929688	-100.373352
11714.062500	-100.561913
11800.195312	-100.448074
11886.328125	-100.964958
11972.460938	-101.638397
12058.593750	-101.018089
12144.726562	-100.659927
12230.859375	-100.671471
12316.992188	-100.773445
12403.125000	-100.695480
12489.257812	-99.991905
12575.390625	-100.189919
12661.523438	-100.495293
12747.656250	-101.259987
12833.789062	-101.460945
12919.921875	-101.373169
13006.054688	-101.320450
13092.187500	-102.435081
13178.320312	-102.664764
13264.453125	-102.782928
13350.585938	-103.112900
13436.718750	-103.222786
13522.851562	-103.195091
13608.984375	-102.677155
13695.117188	-102.529747
13781.250000	-102.330284
13867.382812	-101.527763
13953.515625	-101.021317
14039.648438	-101.399033
14125.781250	-101.272255
14211.914062	-99.998276
14298.046875	-99.170952
14384.179688	-99.219963
14470.312500	-98.231865
14556.445312	-97.592598
14642.578125	-98.257362
14728.710938	-98.426590
14814.843750	-98.292801
14900.976562	-98.759384
14987.109375	-98.876900
15073.242188	-99.682114
15159.375000	-101.726425
15245.507812	-102.654526
15331.640625	-102.555420
15417.773438	-104.005234
15503.906250	-104.039185
15590.039062	-102.883171
15676.171875	-102.155670
15762.304688	-101.887794
15848.437500	-100.876717
15934.570312	-100.684700
16020.703125	-98.883179
16106.835938	-97.305382
16192.968750	-98.252060
16279.101562	-98.286026
16365.234375	-96.883118
16451.367188	-97.108292
16537.500000	-96.713051
16623.632812	-96.090462
16709.765625	-97.033241
16795.898438	-97.475426
16882.031250	-96.072533
16968.164062	-96.922256
17054.296875	-98.686668
17140.429688	-99.255692
17226.562500	-99.974663
17312.695312	-101.938759
17398.828125	-101.364357
17484.960938	-101.286293
17571.093750	-102.613876
17657.226562	-102.829521
17743.359375	-100.844955
17829.492188	-100.836121
17915.625000	-103.062851
18001.757812	-103.619278
18087.890625	-105.265442
18174.023438	-104.643257
18260.156250	-103.709274
18346.289062	-104.327888
18432.421875	-104.839638
18518.554688	-105.621048
18604.687500	-104.285263
18690.820312	-102.002296
18776.953125	-99.225533
18863.085938	-98.209541
18949.218750	-100.593140
19035.351562	-105.054291
19121.484375	-107.957382
19207.617188	-109.043678
19293.750000	-110.172676
19379.882812	-112.102715
19466.015625	-110.247101
19552.148438	-110.715538
19638.281250	-111.702118
19724.414062	-110.510399
19810.546875	-109.290932
19896.679688	-105.618439
19982.812500	-105.197273
20068.945312	-106.317352
20155.078125	-107.499138
20241.210938	-108.475746
20327.343750	-107.414284
20413.476562	-105.014061
20499.609375	-101.900177
20585.742188	-101.306557
20671.875000	-102.971977
20758.007812	-105.600922
20844.140625	-109.185478
20930.273438	-112.348221
21016.406250	-116.596062
21102.539062	-123.424553
21188.671875	-125.765732
21274.804688	-127.523651
21360.937500	-127.820023
21447.070312	-126.795486
21533.203125	-126.322136
21619.335938	-127.523148
21705.468750	-131.709045
21791.601562	-139.187881
21877.734375	-147.735489
21963.867188	-155.484314
