Frequency (Hz)	Level (dB)
86.132812	-66.388794
172.265625	-64.309319
258.398438	-65.154900
344.531250	-68.761238
430.664062	-73.498627
516.796875	-74.673325
602.929688	-76.074821
689.062500	-76.128555
775.195312	-74.105217
861.328125	-71.764420
947.460938	-72.786171
1033.593750	-72.575317
1119.726562	-71.843422
1205.859375	-72.782745
1291.992188	-72.573921
1378.125000	-73.175972
1464.257812	-73.020790
1550.390625	-72.291954
1636.523438	-71.380226
1722.656250	-71.552261
1808.789062	-72.872078
1894.921875	-73.340752
1981.054688	-73.462769
2067.187500	-72.528976
2153.320312	-71.591484
2239.453125	-71.844658
2325.585938	-73.953384
2411.718750	-74.602280
2497.851562	-74.882286
2583.984375	-73.342979
2670.117188	-70.755745
2756.250000	-69.090843
2842.382812	-68.952560
2928.515625	-69.355141
3014.648438	-70.291656
3100.781250	-70.855217
3186.914062	-71.507973
3273.046875	-71.732620
3359.179688	-71.978325
3445.312500	-72.529922
3531.445312	-72.899948
3617.578125	-73.873322
3703.710938	-74.313408
3789.843750	-74.375275
3875.976562	-73.933357
3962.109375	-73.177956
4048.242188	-72.771370
4134.375000	-72.156410
4220.507812	-72.568047
4306.640625	-73.418777
4392.773438	-74.153275
4478.906250	-75.114967
4565.039062	-75.319969
4651.171875	-74.325920
4737.304688	-73.192970
4823.437500	-72.293137
4909.570312	-71.762497
4995.703125	-71.951500
5081.835938	-71.870125
5167.968750	-70.395485
5254.101562	-68.968491
5340.234375	-67.870750
5426.367188	-67.301201
5512.500000	-67.972145
5598.632812	-69.679855
5684.765625	-71.528809
5770.898438	-72.191833
5857.031250	-72.392502
5943.164062	-72.102310
6029.296875	-71.275810
6115.429688	-71.383385
6201.562500	-71.465767
6287.695312	-71.750908
6373.828125	-73.097015
6459.960938	-74.719475
6546.093750	-75.600266
6632.226562	-75.704315
6718.359375	-75.082832
6804.492188	-75.460579
6890.625000	-75.166702
6976.757812	-76.059029
7062.890625	-77.267738
7149.023438	-78.145706
7235.156250	-78.317329
7321.289062	-77.671501
7407.421875	-77.626991
7493.554688	-77.007736
7579.687500	-76.783638
7665.820312	-75.834366
7751.953125	-75.783432
7838.085938	-75.930191
7924.218750	-75.221062
8010.351562	-73.144859
8096.484375	-70.748566
8182.617188	-70.870850
8268.750000	-71.704140
8354.882812	-73.490395
8441.015625	-74.366203
8527.148438	-73.413361
8613.281250	-72.476013
8699.414062	-71.898804
8785.546875	-71.046425
8871.679688	-70.595482
8957.812500	-71.189346
9043.945312	-72.852882
9130.078125	-73.811890
9216.210938	-72.934380
9302.343750	-72.556076
9388.476562	-72.743416
9474.609375	-73.385864
9560.742188	-74.233688
9646.875000	-76.423134
9733.007812	-79.174500
9819.140625	-80.236794
9905.273438	-79.396049
9991.406250	-78.110939
10077.539062	-77.289154
10163.671875	-78.305786
10249.804688	-80.432373
10335.937500	-83.190117
10422.070312	-82.981377
10508.203125	-80.832031
10594.335938	-80.561310
10680.468750	-81.352081
