Frequency (Hz)	Level (dB)
86.132812	-66.460655
172.265625	-64.420418
258.398438	-65.294960
344.531250	-68.868843
430.664062	-73.493874
516.796875	-74.728439
602.929688	-76.151726
689.062500	-76.234756
775.195312	-74.261215
861.328125	-71.935471
947.460938	-72.879471
1033.593750	-72.703453
1119.726562	-71.985023
1205.859375	-72.878197
1291.992188	-72.708878
1378.125000	-73.275581
1464.257812	-73.056465
1550.390625	-72.376038
1636.523438	-71.498955
1722.656250	-71.664268
1808.789062	-72.961082
1894.921875	-73.426201
1981.054688	-73.589088
2067.187500	-72.674629
2153.320312	-71.725418
2239.453125	-72.033272
2325.585938	-74.119774
2411.718750	-74.764435
2497.851562	-74.954941
2583.984375	-73.424004
2670.117188	-70.913864
2756.250000	-69.193977
2842.382812	-69.064095
2928.515625	-69.426270
3014.648438	-70.349800
3100.781250	-70.875847
3186.914062	-71.486473
3273.046875	-71.720078
3359.179688	-71.971870
3445.312500	-72.532166
3531.445312	-72.895500
3617.578125	-73.957161
3703.710938	-74.436722
3789.843750	-74.519928
3875.976562	-74.035805
3962.109375	-73.247475
4048.242188	-72.875786
4134.375000	-72.212540
4220.507812	-72.645393
4306.640625	-73.456146
4392.773438	-74.204552
4478.906250	-75.082100
4565.039062	-75.224037
4651.171875	-74.282257
4737.304688	-73.110542
4823.437500	-72.141747
4909.570312	-71.332756
4995.703125	-71.433022
5081.835938	-71.106682
5167.968750	-69.774254
5254.101562	-68.192635
5340.234375	-67.046051
5426.367188	-66.801620
5512.500000	-67.545349
5598.632812	-69.532928
5684.765625	-71.385376
5770.898438	-72.140350
5857.031250	-72.507675
5943.164062	-72.215630
6029.296875	-71.373306
6115.429688	-71.497627
6201.562500	-71.562729
6287.695312	-71.892113
6373.828125	-73.224121
6459.960938	-74.820015
6546.093750	-75.726486
6632.226562	-75.826256
6718.359375	-75.227180
6804.492188	-75.514839
6890.625000	-75.278915
6976.757812	-76.145073
7062.890625	-77.407249
7149.023438	-78.240257
7235.156250	-78.421265
7321.289062	-77.749237
7407.421875	-77.688995
7493.554688	-77.046097
7579.687500	-76.848625
7665.820312	-75.932526
7751.953125	-75.868660
7838.085938	-75.976776
7924.218750	-75.242180
8010.351562	-73.285988
8096.484375	-70.924713
8182.617188	-71.046486
8268.750000	-71.872276
8354.882812	-73.614838
8441.015625	-74.451698
8527.148438	-73.503227
8613.281250	-72.542419
8699.414062	-71.914566
8785.546875	-71.083450
8871.679688	-70.648720
8957.812500	-71.203308
9043.945312	-72.854347
9130.078125	-73.820496
9216.210938	-73.004005
9302.343750	-72.634224
9388.476562	-72.796822
9474.609375	-73.406067
9560.742188	-74.259209
9646.875000	-76.456039
9733.007812	-79.190842
9819.140625	-80.289635
9905.273438	-79.512741
9991.406250	-78.276260
10077.539062	-77.480751
10163.671875	-78.503540
10249.804688	-80.625252
10335.937500	-83.344460
10422.070312	-83.142410
10508.203125	-80.981369
10594.335938	-80.701477
10680.468750	-81.493538
10766.601562	-82.405914
10852.734375	-83.073524
10938.867188	-83.663651
11025.000000	-82.389740
11111.132812	-81.574875
11197.265625	-80.715546
11283.398438	-80.819168
11369.531250	-80.631897
11455.664062	-81.444817
11541.796875	-82.240295
11627.929688	-81.741867
11714.062500	-81.961929
11800.195312	-80.695831
11886.328125	-80.088387
11972.460938	-79.760674
12058.593750	-80.559303
12144.726562	-82.401871
12230.859375	-84.257988
12316.992188	-85.506363
12403.125000	-84.871239
12489.257812	-82.352776
12575.390625	-80.479233
12661.523438	-80.489342
12747.656250	-81.341393
12833.789062	-83.653969
12919.921875	-84.682755
13006.054688	-83.726562
13092.187500	-83.299126
13178.320312	-81.922180
13264.453125	-80.746620
13350.585938	-80.596313
13436.718750	-81.087082
13522.851562	-81.581230
13608.984375	-80.392807
13695.117188	-80.500366
13781.250000	-81.193710
13867.382812	-82.483025
13953.515625	-82.450859
14039.648438	-83.174316
14125.781250	-83.952248
14211.914062	-83.787964
14298.046875	-82.347687
14384.179688	-81.364326
14470.312500	-82.589127
14556.445312	-82.288071
14642.578125	-81.388496
14728.710938	-82.815796
14814.843750	-84.215096
14900.976562	-83.629860
14987.109375	-83.206139
15073.242188	-82.529114
15159.375000	-84.244049
15245.507812	-86.135208
15331.640625	-87.644424
15417.773438	-88.605820
15503.906250	-88.416351
15590.039062	-87.259636
15676.171875	-85.815277
15762.304688	-84.522530
15848.437500	-84.699875
15934.570312	-86.401314
16020.703125	-87.579308
16106.835938	-87.099030
16192.968750	-86.063286
16279.101562	-84.977112
16365.234375	-84.221123
16451.367188	-83.841698
16537.500000	-84.605774
16623.632812	-85.785278
16709.765625	-85.874374
16795.898438	-85.345062
16882.031250	-85.646477
16968.164062	-85.701012
17054.296875	-85.833504
17140.429688	-85.860802
17226.562500	-86.706467
17312.695312	-87.840942
17398.828125	-89.664421
17484.960938	-90.030632
17571.093750	-89.493645
17657.226562	-89.538086
17743.359375	-90.433311
17829.492188	-90.861122
17915.625000	-90.965790
18001.757812	-92.488564
18087.890625	-92.423218
18174.023438	-91.697029
18260.156250	-90.762314
18346.289062	-90.300934
18432.421875	-91.384964
18518.554688	-91.863274
18604.687500	-94.133720
18690.820312	-95.729797
18776.953125	-96.783768
18863.085938	-97.575409
18949.218750	-97.679596
19035.351562	-97.791794
19121.484375	-98.379257
19207.617188	-97.595490
19293.750000	-97.187469
19379.882812	-97.785355
19466.015625	-98.072395
19552.148438	-100.069832
19638.281250	-101.785492
19724.414062	-102.904472
19810.546875	-104.222084
19896.679688	-105.489517
19982.812500	-104.953407
20068.945312	-104.926788
20155.078125	-106.345001
20241.210938	-107.123207
20327.343750	-108.246513
20413.476562	-110.278610
20499.609375	-110.421455
20585.742188	-111.697525
20671.875000	-111.291428
20758.007812	-109.455307
20844.140625	-109.258682
20930.273438	-113.084717
21016.406250	-116.804604
21102.539062	-118.206505
21188.671875	-120.724663
21274.804688	-124.415848
21360.937500	-128.251770
21447.070312	-126.417458
21533.203125	-122.415611
21619.335938	-119.334908
21705.468750	-122.479584
21791.601562	-132.133591
21877.734375	-142.517838
21963.867188	-151.975555
