Frequency (Hz)	Level (dB)
86.132812	-71.556259
172.265625	-69.835274
258.398438	-70.888626
344.531250	-73.420502
430.664062	-75.296112
516.796875	-78.171890
602.929688	-82.481697
689.062500	-83.517799
775.195312	-84.082710
861.328125	-82.785172
947.460938	-82.422012
1033.593750	-82.737404
1119.726562	-82.396828
1205.859375	-80.572861
1291.992188	-79.771561
1378.125000	-79.689392
1464.257812	-80.455666
1550.390625	-81.270409
1636.523438	-81.640778
1722.656250	-81.617416
1808.789062	-82.365822
1894.921875	-83.033630
1981.054688	-83.131866
2067.187500	-83.028656
2153.320312	-83.370483
2239.453125	-83.718567
2325.585938	-84.775429
2411.718750	-84.596725
2497.851562	-83.573318
2583.984375	-81.287254
2670.117188	-81.097404
2756.250000	-82.520943
2842.382812	-82.894112
2928.515625	-83.419250
3014.648438	-84.299591
3100.781250	-83.688385
3186.914062	-84.356445
3273.046875	-83.825409
3359.179688	-84.242340
3445.312500	-85.996635
3531.445312	-84.293198
3617.578125	-84.162140
3703.710938	-84.772018
3789.843750	-86.167747
3875.976562	-88.295731
3962.109375	-88.901604
4048.242188	-83.938431
4134.375000	-79.561646
4220.507812	-79.523239
4306.640625	-81.008102
4392.773438	-82.899338
4478.906250	-83.166321
4565.039062	-82.913445
4651.171875	-84.883301
4737.304688	-87.334320
4823.437500	-88.171265
4909.570312	-87.712181
4995.703125	-87.804886
5081.835938	-89.416908
5167.968750	-90.516808
5254.101562	-90.883667
5340.234375	-90.784737
5426.367188	-90.863739
5512.500000	-90.084549
5598.632812	-89.262634
5684.765625	-89.518669
5770.898438	-90.895943
5857.031250	-92.410461
5943.164062	-93.350204
6029.296875	-93.330582
6115.429688	-93.631561
6201.562500	-93.000595
6287.695312	-92.499161
6373.828125	-92.774925
6459.960938	-93.406731
6546.093750	-93.812141
6632.226562	-93.125946
6718.359375	-91.732857
6804.492188	-90.943230
6890.625000	-90.536430
6976.757812	-90.303551
7062.890625	-89.774147
7149.023438	-88.609825
7235.156250	-88.276840
7321.289062	-89.545975
7407.421875	-90.575981
7493.554688	-90.991180
7579.687500	-91.897942
7665.820312	-92.438553
7751.953125	-93.202797
7838.085938	-95.400467
7924.218750	-94.453995
8010.351562	-93.080330
8096.484375	-93.758797
8182.617188	-93.533218
8268.750000	-94.516998
8354.882812	-95.457253
8441.015625	-95.047905
8527.148438	-94.813988
8613.281250	-94.212166
8699.414062	-94.244423
8785.546875	-94.122910
8871.679688	-93.942558
8957.812500	-94.122162
9043.945312	-95.427742
9130.078125	-97.106392
9216.210938	-96.547951
9302.343750	-96.646088
9388.476562	-97.502213
9474.609375	-97.911690
9560.742188	-98.792473
9646.875000	-99.167252
9733.007812	-100.271950
9819.140625	-100.538010
9905.273438	-100.040970
9991.406250	-99.082985
10077.539062	-99.624252
10163.671875	-100.644844
10249.804688	-100.533722
10335.937500	-100.185806
10422.070312	-101.318466
10508.203125	-102.050468
10594.335938	-102.208527
10680.468750	-102.314247
10766.601562	-102.017456
10852.734375	-101.880119
10938.867188	-102.110489
11025.000000	-102.202583
11111.132812	-102.424355
11197.265625	-102.317642
11283.398438	-102.450821
11369.531250	-102.773727
11455.664062	-103.039261
11541.796875	-102.840492
11627.929688	-103.130516
11714.062500	-103.511398
11800.195312	-103.726334
11886.328125	-104.093323
11972.460938	-103.703033
12058.593750	-103.388458
12144.726562	-103.404411
12230.859375	-103.321373
12316.992188	-103.182350
12403.125000	-103.772537
12489.257812	-103.880714
12575.390625	-103.809364
12661.523438	-104.235229
12747.656250	-104.689674
12833.789062	-105.189560
12919.921875	-105.005302
13006.054688	-104.950424
13092.187500	-104.913559
13178.320312	-105.224373
13264.453125	-105.066696
13350.585938	-104.738503
13436.718750	-104.644905
13522.851562	-104.810287
