Frequency (Hz)	Level (dB)
86.132812	-68.174995
172.265625	-66.091255
258.398438	-66.893028
344.531250	-70.791000
430.664062	-72.871254
516.796875	-71.698242
602.929688	-73.131821
689.062500	-75.655312
775.195312	-75.827728
861.328125	-74.743950
947.460938	-74.013351
1033.593750	-74.761536
1119.726562	-75.514862
1205.859375	-76.688087
1291.992188	-76.565582
1378.125000	-76.142960
1464.257812	-77.075714
1550.390625	-77.254662
1636.523438	-74.204750
1722.656250	-72.622543
1808.789062	-75.993546
1894.921875	-78.642036
1981.054688	-78.535217
2067.187500	-77.274895
2153.320312	-75.949387
2239.453125	-75.387558
2325.585938	-74.521042
2411.718750	-74.052391
2497.851562	-74.221054
2583.984375	-72.847595
2670.117188	-70.943771
2756.250000	-71.067711
2842.382812	-71.354248
2928.515625	-72.357506
3014.648438	-72.230659
3100.781250	-71.196732
3186.914062	-70.340027
3273.046875	-69.943230
3359.179688	-69.647316
3445.312500	-70.492462
3531.445312	-72.398140
3617.578125	-73.356895
3703.710938	-73.516800
3789.843750	-72.741524
3875.976562	-71.816093
3962.109375	-71.678856
4048.242188	-72.068832
4134.375000	-72.924850
4220.507812	-73.186577
4306.640625	-72.284492
4392.773438	-69.967133
4478.906250	-69.382309
4565.039062	-69.393074
4651.171875	-69.683334
4737.304688	-69.223358
4823.437500	-68.594467
4909.570312	-68.300636
4995.703125	-68.574249
5081.835938	-68.206360
5167.968750	-67.664940
5254.101562	-67.084618
5340.234375	-66.676132
5426.367188	-65.960350
5512.500000	-65.790291
5598.632812	-65.927536
5684.765625	-65.505478
5770.898438	-65.210304
5857.031250	-65.257309
5943.164062	-66.706184
6029.296875	-66.937065
6115.429688	-67.016861
6201.562500	-67.931213
6287.695312	-69.572578
6373.828125	-72.130867
6459.960938	-73.245758
6546.093750	-72.144745
6632.226562	-71.261574
6718.359375	-70.147240
6804.492188	-69.651901
6890.625000	-70.235085
6976.757812	-71.401756
7062.890625	-73.118835
7149.023438	-74.720215
7235.156250	-74.888008
7321.289062	-73.282043
7407.421875	-72.384163
7493.554688	-72.797935
7579.687500	-74.820534
7665.820312	-74.672157
7751.953125	-72.494408
7838.085938	-71.689301
7924.218750	-71.442299
8010.351562	-71.991119
8096.484375	-73.155624
8182.617188	-74.487526
8268.750000	-74.121628
8354.882812	-71.907623
8441.015625	-69.952499
8527.148438	-70.012047
8613.281250	-71.269653
8699.414062	-72.034409
8785.546875	-72.801315
8871.679688	-72.757423
8957.812500	-72.642876
9043.945312	-72.837471
