Frequency (Hz)	Level (dB)
86.132812	-70.414314
172.265625	-68.525261
258.398438	-70.284775
344.531250	-73.625206
430.664062	-77.186104
516.796875	-79.749725
602.929688	-81.395790
689.062500	-82.093910
775.195312	-81.833191
861.328125	-80.945000
947.460938	-80.961624
1033.593750	-81.777115
1119.726562	-82.218231
1205.859375	-81.501236
1291.992188	-80.400803
1378.125000	-80.154648
1464.257812	-80.930504
1550.390625	-81.679176
1636.523438	-82.372696
1722.656250	-82.089951
1808.789062	-81.677742
1894.921875	-81.963791
1981.054688	-82.177597
2067.187500	-82.243027
2153.320312	-82.489899
2239.453125	-82.723030
2325.585938	-83.026848
2411.718750	-83.440620
2497.851562	-82.772331
2583.984375	-82.258301
2670.117188	-82.253540
2756.250000	-82.922691
2842.382812	-83.060081
2928.515625	-83.968704
3014.648438	-84.672600
3100.781250	-84.629250
3186.914062	-85.084053
3273.046875	-86.170036
3359.179688	-86.291466
3445.312500	-86.865517
3531.445312	-87.298920
3617.578125	-87.389473
3703.710938	-87.290291
3789.843750	-87.486061
3875.976562	-88.350113
3962.109375	-89.154373
4048.242188	-88.878845
4134.375000	-88.474899
4220.507812	-88.353973
4306.640625	-88.849159
4392.773438	-88.793442
4478.906250	-88.391907
4565.039062	-88.675804
4651.171875	-88.614456
4737.304688	-88.225548
4823.437500	-87.626656
4909.570312	-87.619583
4995.703125	-87.568970
5081.835938	-88.067619
5167.968750	-88.209618
5254.101562	-88.086967
5340.234375	-87.385803
5426.367188	-86.765892
5512.500000	-85.861885
5598.632812	-86.471420
5684.765625	-86.927910
5770.898438	-87.669769
5857.031250	-88.010406
5943.164062	-87.692520
6029.296875	-87.771942
6115.429688	-88.191521
6201.562500	-88.884506
6287.695312	-88.980141
6373.828125	-88.852119
6459.960938	-88.873352
6546.093750	-89.684181
6632.226562	-90.109085
6718.359375	-90.245911
6804.492188	-91.007225
6890.625000	-91.442284
6976.757812	-91.175713
7062.890625	-91.087463
7149.023438	-92.544113
7235.156250	-93.410492
7321.289062	-93.347870
7407.421875	-92.939339
7493.554688	-92.884071
7579.687500	-92.942299
7665.820312	-94.050011
7751.953125	-93.239632
7838.085938	-91.617790
7924.218750	-92.251434
8010.351562	-92.849121
8096.484375	-92.594238
8182.617188	-91.616447
8268.750000	-91.394958
8354.882812	-91.594658
8441.015625	-91.610649
8527.148438	-91.711250
8613.281250	-91.535645
8699.414062	-91.469498
8785.546875	-91.574982
8871.679688	-91.522240
8957.812500	-91.222847
9043.945312	-90.764503
9130.078125	-90.421188
9216.210938	-91.174576
9302.343750	-92.353836
9388.476562	-93.210533
9474.609375	-93.553337
9560.742188	-93.538963
9646.875000	-93.521324
9733.007812	-94.365082
9819.140625	-94.659859
9905.273438	-95.164124
9991.406250	-95.793839
10077.539062	-95.913864
10163.671875	-95.600449
10249.804688	-96.182312
10335.937500	-96.273407
10422.070312	-96.403908
10508.203125	-95.000900
10594.335938	-94.746742
10680.468750	-95.137825
10766.601562	-95.703377
10852.734375	-95.962189
10938.867188	-95.260147
11025.000000	-94.913963
11111.132812	-94.882156
11197.265625	-94.544312
11283.398438	-93.269653
11369.531250	-91.921837
11455.664062	-90.405975
11541.796875	-89.602493
11627.929688	-89.193451
11714.062500	-89.040222
11800.195312	-88.792229
11886.328125	-88.257607
11972.460938	-87.733917
12058.593750	-87.716232
12144.726562	-87.300156
12230.859375	-86.220726
12316.992188	-85.379662
12403.125000	-84.837708
12489.257812	-85.936966
12575.390625	-87.235817
12661.523438	-88.452309
12747.656250	-88.579369
12833.789062	-88.575272
12919.921875	-89.172218
13006.054688	-89.410500
13092.187500	-89.575996
13178.320312	-89.699799
13264.453125	-90.998436
13350.585938	-91.746002
13436.718750	-93.096085
13522.851562	-94.089973
13608.984375	-95.300888
13695.117188	-97.419243
13781.250000	-98.493805
13867.382812	-99.199188
13953.515625	-99.501617
14039.648438	-100.571335
14125.781250	-101.325401
14211.914062	-101.615952
14298.046875	-101.025444
14384.179688	-100.841766
14470.312500	-101.861435
14556.445312	-102.267845
14642.578125	-101.086143
14728.710938	-100.435181
14814.843750	-100.903671
14900.976562	-101.656464
14987.109375	-102.279205
15073.242188	-101.803535
15159.375000	-101.660477
15245.507812	-101.738380
15331.640625	-102.809631
15417.773438	-102.873451
15503.906250	-102.545288
